,Functional,Reduced Formula,Config,State,F Frac,Pristine Li Frac,True F,True O,True Li,True V,True Nb,True Vac,Energy (eV),Normalized Energy (eV/atom),Volume (A^3),Tet Li,Oct Li,Tet V,Oct V
10,SCAN+rVV10,Li5Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_495,FullDeLiECap,0,1.4,0,20,10,2,4,4,-404.32893,-11.23135917,397.5527376,8,2,2,0
11,SCAN+rVV10,Li7Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_495,Pristine,0,1.4,0,20,14,2,4,0,-424.28816,-10.607204,365.9989331,0,14,0,2
12,SCAN+rVV10,Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_496,FullDeLi,0,1.4,0,20,0,2,4,14,-337.63919,-12.98612269,365.7808308,0,0,0,2
13,SCAN+rVV10,Li5Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_496,FullDeLiECap,0,1.4,0,20,10,2,4,4,-403.08157,-11.19671028,391.3841066,4,6,2,0
14,SCAN+rVV10,Li7Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_496,Pristine,0,1.4,0,20,14,2,4,0,-423.93102,-10.5982755,364.9530868,0,14,0,2
15,SCAN+rVV10,Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_497,FullDeLi,0,1.4,0,20,0,2,4,14,-337.44645,-12.97870962,359.7560398,0,0,0,2
16,SCAN+rVV10,Li5Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_497,FullDeLiECap,0,1.4,0,20,10,2,4,4,-404.10199,-11.22505528,386.2610716,3,7,2,0
17,SCAN+rVV10,Li7Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_497,Pristine,0,1.4,0,20,14,2,4,0,-424.19439,-10.60485975,363.4555794,0,14,0,2
18,SCAN+rVV10,Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_498,FullDeLi,0,1.4,0,20,0,2,4,14,-339.17694,-13.04526692,391.7330169,0,0,1,1
19,SCAN+rVV10,Li5Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_498,FullDeLiECap,0,1.4,0,20,10,2,4,4,-404.07582,-11.22432833,397.9214967,9,1,0,2
20,SCAN+rVV10,Li7Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_498,Pristine,0,1.4,0,20,14,2,4,0,-422.94123,-10.57353075,364.3637028,0,14,0,2
21,SCAN+rVV10,Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_499,FullDeLi,0,1.4,0,20,0,2,4,14,-331.33748,-12.74374923,342.8151151,0,0,0,2
22,SCAN+rVV10,Li5Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_499,FullDeLiECap,0,1.4,0,20,10,2,4,4,-404.41472,-11.23374222,389.29166,3,7,2,0
23,SCAN+rVV10,Li7Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_499,Pristine,0,1.4,0,20,14,2,4,0,-424.59062,-10.6147655,365.0684027,0,14,0,2
24,SCAN+rVV10,Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_500,FullDeLi,0,1.4,0,20,0,2,4,14,-337.18339,-12.96859192,353.7727994,0,0,0,2
25,SCAN+rVV10,Li5Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_500,FullDeLiECap,0,1.4,0,20,10,2,4,4,-403.25475,-11.20152083,385.0260616,1,9,2,0
26,SCAN+rVV10,Li7Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_500,Pristine,0,1.4,0,20,14,2,4,0,-424.08591,-10.60214775,364.9735597,0,14,0,2
27,SCAN+rVV10,Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_501,FullDeLi,0,1.4,0,20,0,2,4,14,-336.71561,-12.95060038,379.7650526,0,0,0,2
28,SCAN+rVV10,Li5Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_501,FullDeLiECap,0,1.4,0,20,10,2,4,4,-404.64487,-11.24013528,388.2665141,2,8,2,0
29,SCAN+rVV10,Li7Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_501,Pristine,0,1.4,0,20,14,2,4,0,-424.70758,-10.6176895,365.8926678,0,14,0,2
30,SCAN+rVV10,Li9Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_492,DeLi4Li,0,1.3,0,20,9,4,3,4,-403.8013,-11.21670278,367.481444,4,5,0,4
31,SCAN+rVV10,Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_492,FullDeLi,0,1.3,0,20,0,4,3,13,-349.03953,-12.92739,317.6377514,0,0,0,4
32,SCAN+rVV10,Li5Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_492,FullDeLiECap,0,1.3,0,20,5,4,3,8,-380.1828,-11.8807125,374.4808856,3,2,0,4
33,SCAN+rVV10,Li13Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_492,Pristine,0,1.3,0,20,13,4,3,0,-423.50021,-10.58750525,361.7422921,0,13,0,4
34,SCAN+rVV10,Li9Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_493,DeLi4Li,0,1.3,0,20,9,4,3,4,-403.51612,-11.20878111,366.4228368,1,8,0,4
35,SCAN+rVV10,Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_493,FullDeLi,0,1.3,0,20,0,4,3,13,-344.5068,-12.75951111,324.2989829,0,0,1,3
36,SCAN+rVV10,Li5Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_493,FullDeLiECap,0,1.3,0,20,5,4,3,8,-379.51589,-11.85987156,366.439561,2,3,0,4
37,SCAN+rVV10,Li13Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_493,Pristine,0,1.3,0,20,13,4,3,0,-422.74032,-10.568508,363.4262751,0,13,0,4
38,SCAN+rVV10,Li9Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_494,DeLi4Li,0,1.3,0,20,9,4,3,4,-404.40962,-11.23360056,365.8426919,3,6,0,4
39,SCAN+rVV10,Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_494,FullDeLi,0,1.3,0,20,0,4,3,13,-346.12633,-12.8194937,340.0927819,0,0,0,4
40,SCAN+rVV10,Li5Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_494,FullDeLiECap,0,1.3,0,20,5,4,3,8,-382.91149,-11.96598406,369.4528191,3,2,0,4
41,SCAN+rVV10,Li13Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_494,Pristine,0,1.3,0,20,13,4,3,0,-423.56356,-10.589089,360.7435831,0,13,0,4
42,SCAN+rVV10,Li9Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_495,DeLi4Li,0,1.3,0,20,9,4,3,4,-403.68002,-11.21333389,369.621697,2,7,0,4
43,SCAN+rVV10,Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_495,FullDeLi,0,1.3,0,20,0,4,3,13,-348.60747,-12.91138778,343.5521843,0,0,1,3
44,SCAN+rVV10,Li5Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_495,FullDeLiECap,0,1.3,0,20,5,4,3,8,-381.71206,-11.92850188,367.6745752,2,3,0,4
45,SCAN+rVV10,Li13Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_495,Pristine,0,1.3,0,20,13,4,3,0,-423.02808,-10.575702,363.3089202,0,13,0,4
46,SCAN+rVV10,Li9Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_496,DeLi4Li,0,1.3,0,20,9,4,3,4,-403.31351,-11.20315306,372.5269939,3,6,0,4
47,SCAN+rVV10,Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_496,FullDeLi,0,1.3,0,20,0,4,3,13,-348.8164,-12.91912593,320.7311371,0,0,0,4
48,SCAN+rVV10,Li5Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_496,FullDeLiECap,0,1.3,0,20,5,4,3,8,-382.15461,-11.94233156,365.285703,2,3,0,4
49,SCAN+rVV10,Li13Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_496,Pristine,0,1.3,0,20,13,4,3,0,-423.0838,-10.577095,362.7810094,0,13,0,4
50,SCAN+rVV10,Li9Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_497,DeLi4Li,0,1.3,0,20,9,4,3,4,-403.18961,-11.19971139,371.1624392,2,7,0,4
51,SCAN+rVV10,Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_497,FullDeLi,0,1.3,0,20,0,4,3,13,-349.03992,-12.92740444,317.6864523,0,0,0,4
52,SCAN+rVV10,Li5Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_497,FullDeLiECap,0,1.3,0,20,5,4,3,8,-381.74119,-11.92941219,349.1925657,1,4,0,4
53,SCAN+rVV10,Li13Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_497,Pristine,0,1.3,0,20,13,4,3,0,-423.49715,-10.58742875,361.8864898,0,13,0,4
54,SCAN+rVV10,Li9Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_498,DeLi4Li,0,1.3,0,20,9,4,3,4,-404.31046,-11.23084611,364.9365428,4,5,0,4
55,SCAN+rVV10,Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_498,FullDeLi,0,1.3,0,20,0,4,3,13,-349.0578,-12.92806667,361.0206818,0,0,1,3
56,SCAN+rVV10,Li5Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_498,FullDeLiECap,0,1.3,0,20,5,4,3,8,-380.50522,-11.89078813,369.879443,3,2,0,4
57,SCAN+rVV10,Li13Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_498,Pristine,0,1.3,0,20,13,4,3,0,-422.79213,-10.56980325,363.4607802,0,13,0,4
58,SCAN+rVV10,Li9Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_499,DeLi4Li,0,1.3,0,20,9,4,3,4,-403.64842,-11.21245611,369.2769675,2,7,0,4
59,SCAN+rVV10,Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_499,FullDeLi,0,1.3,0,20,0,4,3,13,-344.60028,-12.76297333,367.0816872,0,0,1,3
60,SCAN+rVV10,Li5Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_499,FullDeLiECap,0,1.3,0,20,5,4,3,8,-382.17215,-11.94287969,374.8084618,2,3,0,4
61,SCAN+rVV10,Li13Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_499,Pristine,0,1.3,0,20,13,4,3,0,-423.2183,-10.5804575,362.1092149,0,13,0,4
62,SCAN+rVV10,Li9Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_500,DeLi4Li,0,1.3,0,20,9,4,3,4,-402.77587,-11.18821861,370.4519191,2,7,0,4
63,SCAN+rVV10,Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_500,FullDeLi,0,1.3,0,20,0,4,3,13,-346.99703,-12.85174185,473.876223,0,0,2,2
64,SCAN+rVV10,Li5Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_500,FullDeLiECap,0,1.3,0,20,5,4,3,8,-381.81865,-11.93183281,374.5108172,4,1,2,2
65,SCAN+rVV10,Li13Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_500,Pristine,0,1.3,0,20,13,4,3,0,-423.11717,-10.57792925,360.4607293,0,13,0,4
66,SCAN+rVV10,Li9Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_501,DeLi4Li,0,1.3,0,20,9,4,3,4,-404.60856,-11.23912667,358.7176276,1,8,0,4
67,SCAN+rVV10,Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_501,FullDeLi,0,1.3,0,20,0,4,3,13,-348.33835,-12.90142037,327.3519391,0,0,0,4
68,SCAN+rVV10,Li5Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_501,FullDeLiECap,0,1.3,0,20,5,4,3,8,-380.41005,-11.88781406,361.9553865,4,1,0,4
69,SCAN+rVV10,Li13Nb3V4O20,LMOF_mF0.0_xM3_0.2_1273.0K_501,Pristine,0,1.3,0,20,13,4,3,0,-423.4973,-10.5874325,361.7446737,0,13,0,4
70,SCAN+rVV10,Li4NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_492,DeLi4Li,0,1.2,0,20,8,6,2,4,-403.67953,-11.21332028,357.9695238,3,5,0,6
71,SCAN+rVV10,NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_492,FullDeLi,0,1.2,0,20,0,6,2,12,-359.00397,-12.82157036,385.2450221,0,0,3,3
72,SCAN+rVV10,Li6NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_492,Pristine,0,1.2,0,20,12,6,2,0,-422.6365,-10.5659125,357.1555721,0,12,0,6
73,SCAN+rVV10,Li4NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_493,DeLi4Li,0,1.2,0,20,8,6,2,4,-403.35821,-11.20439472,358.3161686,1,7,0,6
74,SCAN+rVV10,NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_493,FullDeLi,0,1.2,0,20,0,6,2,12,-359.2939,-12.831925,319.5407278,0,0,0,6
75,SCAN+rVV10,Li6NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_493,Pristine,0,1.2,0,20,12,6,2,0,-422.92921,-10.57323025,357.6639198,0,12,0,6
76,SCAN+rVV10,Li4NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_494,DeLi4Li,0,1.2,0,20,8,6,2,4,-403.41948,-11.20609667,369.7762535,4,4,0,6
77,SCAN+rVV10,NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_494,FullDeLi,0,1.2,0,20,0,6,2,12,-357.50961,-12.76820036,335.203986,0,0,0,6
78,SCAN+rVV10,Li6NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_494,Pristine,0,1.2,0,20,12,6,2,0,-422.24657,-10.55616425,358.5857695,0,12,0,6
79,SCAN+rVV10,Li4NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_495,DeLi4Li,0,1.2,0,20,8,6,2,4,-403.63274,-11.21202056,360.2697791,2,6,0,6
80,SCAN+rVV10,NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_495,FullDeLi,0,1.2,0,20,0,6,2,12,-359.45026,-12.83750929,335.0745714,0,0,1,5
81,SCAN+rVV10,Li6NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_495,Pristine,0,1.2,0,20,12,6,2,0,-422.54891,-10.56372275,358.3387656,0,12,0,6
82,SCAN+rVV10,Li4NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_496,DeLi4Li,0,1.2,0,20,8,6,2,4,-403.41532,-11.20598111,354.8014034,1,7,0,6
83,SCAN+rVV10,NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_496,FullDeLi,0,1.2,0,20,0,6,2,12,-358.97259,-12.82044964,371.284097,0,0,1,5
84,SCAN+rVV10,Li6NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_496,Pristine,0,1.2,0,20,12,6,2,0,-422.95557,-10.57388925,358.6480088,0,12,0,6
85,SCAN+rVV10,Li4NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_497,DeLi4Li,0,1.2,0,20,8,6,2,4,-403.49541,-11.20820583,363.5913638,2,6,0,6
86,SCAN+rVV10,NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_497,FullDeLi,0,1.2,0,20,0,6,2,12,-360.36039,-12.87001393,361.1465217,0,0,0,6
87,SCAN+rVV10,Li6NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_497,Pristine,0,1.2,0,20,12,6,2,0,-422.76244,-10.569061,356.9980407,0,12,0,6
88,SCAN+rVV10,Li4NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_498,DeLi4Li,0,1.2,0,20,8,6,2,4,-402.88069,-11.19113028,364.9029843,2,6,0,6
89,SCAN+rVV10,NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_498,FullDeLi,0,1.2,0,20,0,6,2,12,-359.31829,-12.83279607,365.2912078,0,0,3,3
90,SCAN+rVV10,Li6NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_498,Pristine,0,1.2,0,20,12,6,2,0,-422.66863,-10.56671575,358.8689085,0,12,0,6
91,SCAN+rVV10,Li4NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_499,DeLi4Li,0,1.2,0,20,8,6,2,4,-404.09425,-11.22484028,363.5791289,3,5,0,6
92,SCAN+rVV10,NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_499,FullDeLi,0,1.2,0,20,0,6,2,12,-359.98083,-12.85645821,339.2487821,0,0,2,4
93,SCAN+rVV10,Li6NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_499,Pristine,0,1.2,0,20,12,6,2,0,-422.24572,-10.556143,360.4600152,0,12,0,6
94,SCAN+rVV10,Li4NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_500,DeLi4Li,0,1.2,0,20,8,6,2,4,-402.49774,-11.18049278,380.2821703,6,2,0,6
95,SCAN+rVV10,NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_500,FullDeLi,0,1.2,0,20,0,6,2,12,-358.95655,-12.81987679,320.758782,0,0,0,6
96,SCAN+rVV10,Li6NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_500,Pristine,0,1.2,0,20,12,6,2,0,-422.94774,-10.5736935,358.3921533,0,12,0,6
97,SCAN+rVV10,Li4NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_501,DeLi4Li,0,1.2,0,20,8,6,2,4,-404.13869,-11.22607472,362.5121321,1,7,0,6
98,SCAN+rVV10,NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_501,FullDeLi,0,1.2,0,20,0,6,2,12,-358.53424,-12.80479429,348.496495,0,0,0,6
99,SCAN+rVV10,Li6NbV3O10,LMOF_mF0.0_xM3_0.3_1273.0K_501,Pristine,0,1.2,0,20,12,6,2,0,-423.317,-10.582925,359.5889948,0,12,0,6
100,SCAN+rVV10,Li7NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_492,DeLi4Li,0,1.1,0,20,7,8,1,4,-403.05484,-11.19596778,355.8861951,2,5,0,8
101,SCAN+rVV10,NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_492,FullDeLi,0,1.1,0,20,0,8,1,11,-363.53733,-12.53577,318.344621,0,0,0,8
102,SCAN+rVV10,Li11NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_492,Pristine,0,1.1,0,20,11,8,1,0,-421.8916,-10.54729,356.3808791,0,11,0,8
103,SCAN+rVV10,Li7NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_493,DeLi4Li,0,1.1,0,20,7,8,1,4,-403.05506,-11.19597389,354.5601694,2,5,0,8
104,SCAN+rVV10,NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_493,FullDeLi,0,1.1,0,20,0,8,1,11,-364.7579,-12.57785862,330.0405554,0,0,0,8
105,SCAN+rVV10,Li11NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_493,Pristine,0,1.1,0,20,11,8,1,0,-422.24306,-10.5560765,354.8677497,0,11,0,8
106,SCAN+rVV10,Li7NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_494,DeLi4Li,0,1.1,0,20,7,8,1,4,-402.60486,-11.18346833,353.0011148,0,7,0,8
107,SCAN+rVV10,NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_494,FullDeLi,0,1.1,0,20,0,8,1,11,-364.92572,-12.58364552,334.4596313,0,0,0,8
108,SCAN+rVV10,Li11NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_494,Pristine,0,1.1,0,20,11,8,1,0,-422.29657,-10.55741425,354.1024021,0,11,0,8
109,SCAN+rVV10,Li7NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_495,DeLi4Li,0,1.1,0,20,7,8,1,4,-402.42352,-11.17843111,351.3681841,1,6,0,8
110,SCAN+rVV10,NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_495,FullDeLi,0,1.1,0,20,0,8,1,11,-364.78988,-12.57896138,321.0984299,0,0,0,8
111,SCAN+rVV10,Li11NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_495,Pristine,0,1.1,0,20,11,8,1,0,-421.99228,-10.549807,355.4710749,0,11,0,8
112,SCAN+rVV10,Li7NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_496,DeLi4Li,0,1.1,0,20,7,8,1,4,-401.04856,-11.14023778,341.3963908,0,7,0,8
113,SCAN+rVV10,NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_496,FullDeLi,0,1.1,0,20,0,8,1,11,-363.67432,-12.54049379,324.9775245,0,0,0,8
114,SCAN+rVV10,Li11NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_496,Pristine,0,1.1,0,20,11,8,1,0,-421.4056,-10.53514,353.1773474,0,11,0,8
115,SCAN+rVV10,Li7NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_497,DeLi4Li,0,1.1,0,20,7,8,1,4,-402.85609,-11.19044694,350.3650621,2,5,0,8
116,SCAN+rVV10,NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_497,FullDeLi,0,1.1,0,20,0,8,1,11,-363.8172,-12.54542069,335.6776941,0,0,0,8
117,SCAN+rVV10,Li11NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_497,Pristine,0,1.1,0,20,11,8,1,0,-421.52021,-10.53800525,357.931917,0,11,0,8
118,SCAN+rVV10,Li7NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_498,DeLi4Li,0,1.1,0,20,7,8,1,4,-402.42375,-11.1784375,351.3566754,0,7,0,8
119,SCAN+rVV10,NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_498,FullDeLi,0,1.1,0,20,0,8,1,11,-365.32012,-12.59724552,329.603981,0,0,0,8
120,SCAN+rVV10,Li11NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_498,Pristine,0,1.1,0,20,11,8,1,0,-421.9243,-10.5481075,354.0278463,0,11,0,8
121,SCAN+rVV10,Li7NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_499,DeLi4Li,0,1.1,0,20,7,8,1,4,-403.51599,-11.2087775,355.9048557,2,5,0,8
122,SCAN+rVV10,NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_499,FullDeLi,0,1.1,0,20,0,8,1,11,-363.75119,-12.54314448,338.4537871,0,0,1,7
123,SCAN+rVV10,Li11NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_499,Pristine,0,1.1,0,20,11,8,1,0,-422.16633,-10.55415825,357.7220083,0,11,0,8
124,SCAN+rVV10,Li7NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_500,DeLi4Li,0,1.1,0,20,7,8,1,4,-403.082,-11.19672222,355.617282,2,5,0,8
125,SCAN+rVV10,NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_500,FullDeLi,0,1.1,0,20,0,8,1,11,-364.56225,-12.57111207,329.9180196,0,0,0,8
126,SCAN+rVV10,Li11NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_500,Pristine,0,1.1,0,20,11,8,1,0,-422.35247,-10.55881175,354.9808883,0,11,0,8
127,SCAN+rVV10,Li7NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_501,DeLi4Li,0,1.1,0,20,7,8,1,4,-402.38603,-11.17738972,352.7463006,1,6,0,8
128,SCAN+rVV10,NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_501,FullDeLi,0,1.1,0,20,0,8,1,11,-364.02796,-12.55268828,333.2662545,0,0,0,8
129,SCAN+rVV10,Li11NbV8O20,LMOF_mF0.0_xM3_0.4_1273.0K_501,Pristine,0,1.1,0,20,11,8,1,0,-421.50982,-10.5377455,357.8754209,0,11,0,8
130,SCAN+rVV10,Li3V5O10,LMOF_mF0.0_xM3_0.5_1273.0K_492,DeLi4Li,0,1,0,20,6,10,0,4,-401.59713,-11.15547583,347.029063,0,6,0,10
131,SCAN+rVV10,VO2,LMOF_mF0.0_xM3_0.5_1273.0K_492,FullDeLi,0,1,0,20,0,10,0,10,-370.37919,-12.345973,324.9337101,0,0,0,10
132,SCAN+rVV10,LiVO2,LMOF_mF0.0_xM3_0.5_1273.0K_492,Pristine,0,1,0,20,10,10,0,0,-421.52768,-10.538192,354.1282518,0,10,0,10
133,SCAN+rVV10,Li3V5O10,LMOF_mF0.0_xM3_0.5_1273.0K_493,DeLi4Li,0,1,0,20,6,10,0,4,-401.04159,-11.14004417,347.9489657,0,6,0,10
134,SCAN+rVV10,VO2,LMOF_mF0.0_xM3_0.5_1273.0K_493,FullDeLi,0,1,0,20,0,10,0,10,-369.60134,-12.32004467,325.5575241,0,0,0,10
135,SCAN+rVV10,LiVO2,LMOF_mF0.0_xM3_0.5_1273.0K_493,Pristine,0,1,0,20,10,10,0,0,-421.41117,-10.53527925,352.9761744,0,10,0,10
136,SCAN+rVV10,Li3V5O10,LMOF_mF0.0_xM3_0.5_1273.0K_494,DeLi4Li,0,1,0,20,6,10,0,4,-401.66583,-11.15738417,346.5528393,0,6,0,10
